product_line_name,date,affected_devices,affected_AECCOL_seats,affected_MECOLL_seats,affected_PDCOLL_seats,all_devices,all_AECCOL_seats,all_MECOLL_seats,all_PDCOLL_seats
3DSMAX,2016-07-16,1,0,1,100,5,400,1,100
3DSMAX,2016-10-22,1,500,500,0,247,2922,1025,1116
3DSMAX,2016-10-29,1,2,2,0,326,1148,571,201
3DSMAX,2016-11-12,1,2,2,0,381,1666,1698,1282
3DSMAX,2016-12-03,1,2,2,0,386,1680,1636,1333
3DSMAX,2017-04-08,1,2,0,1,918,4033,5731,568
3DSMAX,2017-06-03,1,1,0,1,1230,9459,8048,2747
3DSMAX,2017-06-17,1,500,500,0,1473,17839,9622,3597
3DSMAX,2017-06-24,1,500,500,0,1470,10064,7216,3119
3DSMAX,2017-07-01,1,2,1,0,1180,9995,5721,3341
3DSMAX,2017-07-08,2,502,1,500,1193,9427,5711,2081
3DSMAX,2017-07-15,1,2,1,0,1432,8220,9764,4111
3DSMAX,2017-07-22,3,5,4,0,1617,9280,10197,5955
3DSMAX,2017-07-29,4,517,1,504,1604,13887,4930,4179
3DSMAX,2017-08-12,2,4,2,0,1625,15047,5315,3773
3DSMAX,2017-08-19,5,19,16,1,1647,11727,5212,3819
3DSMAX,2017-08-26,8,25,20,2,1829,17295,8836,4009
3DSMAX,2017-09-02,7,25,19,2,1961,17992,10744,4067
3DSMAX,2017-09-09,2,9,3,2,2032,14906,7221,2992
3DSMAX,2017-09-16,5,17,12,2,2109,16900,6657,6104
3DSMAX,2017-09-23,9,32,25,1,2492,19643,8824,6109
3DSMAX,2017-09-30,9,589,516,2,2215,17798,8783,4269
3DSMAX,2017-10-07,12,109,26,26,2261,20352,18778,3784
3DSMAX,2017-10-14,14,166,72,16,2443,22092,10827,7197
3DSMAX,2017-10-21,11,27,18,6,2449,28630,8215,4902
ACAD_E,2016-10-15,1,1,0,4,65,28,0,142
ACAD_E,2017-02-04,1,1,0,4,203,905,0,1312
ACAD_E,2017-02-18,1,1,0,1,251,694,0,977
ACAD_E,2017-03-11,1,20,0,2,257,314,0,2426
ACAD_E,2017-04-15,1,1,0,1,239,837,0,1899
ACAD_E,2017-04-22,1,500,0,500,260,832,0,2970
ACAD_E,2017-05-13,2,11,0,8,346,841,0,3205
ACAD_E,2017-05-20,1,1,0,5,335,355,0,4266
ACAD_E,2017-06-10,2,16,0,98,341,262,0,3019
ACAD_E,2017-06-17,3,17,0,103,381,357,0,3034
ACAD_E,2017-06-24,1,1,0,1,372,798,0,4765
ACAD_E,2017-07-01,1,8,0,49,284,224,0,2187
ACAD_E,2017-07-15,3,14,0,51,386,291,0,4774
ACAD_E,2017-07-22,2,13,0,50,447,681,0,5442
ACAD_E,2017-07-29,3,24,0,147,451,394,0,4817
ACAD_E,2017-08-05,2,16,0,98,509,706,0,5324
ACAD_E,2017-08-12,5,19,0,107,465,454,0,4735
ACAD_E,2017-08-19,1,8,0,49,496,987,0,7116
ACAD_E,2017-08-26,1,8,0,49,554,1211,0,5651
ACAD_E,2017-09-02,1,10,0,2,584,613,0,6268
ACAD_E,2017-09-09,4,22,0,100,620,600,0,6391
ACAD_E,2017-09-16,4,26,0,101,556,1022,0,5909
ACAD_E,2017-09-23,5,27,0,101,735,1926,0,6034
ACAD_E,2017-09-30,3,10,0,53,632,643,0,5726
ACAD_E,2017-10-07,2,10,0,2,686,2293,0,5754
ACAD_E,2017-10-14,6,36,0,111,730,1636,0,6011
ACAD_E,2017-10-21,8,50,0,118,776,976,0,7061
ACD,2016-09-24,2,2,0,8,891,4457,0,1157
ACD,2016-10-08,1,2,0,1,1089,4970,0,582
ACD,2016-10-15,1,2,0,1,1348,5753,0,1610
ACD,2016-10-22,2,2,0,8,1585,5770,0,981
ACD,2016-10-29,1,2,0,2,1921,6023,0,1047
ACD,2016-11-12,3,5,0,7,2455,9747,0,1998
ACD,2016-11-19,4,12,0,8,2689,10673,0,1550
ACD,2016-11-26,4,5,0,7,2910,14484,0,1734
ACD,2016-12-03,2,3,0,3,3321,16334,0,4942
ACD,2016-12-10,5,5,0,5,3513,17239,0,3700
ACD,2016-12-17,4,5,0,7,3774,17948,0,4715
ACD,2016-12-24,2,3,0,7,3847,20383,0,3085
ACD,2016-12-31,2,3,0,3,2213,11525,0,1270
ACD,2017-01-07,2,3,0,3,3775,18537,0,2710
ACD,2017-01-14,12,15,0,39,5048,22551,0,3767
ACD,2017-01-21,10,20,0,13,5445,24773,0,5359
ACD,2017-01-28,9,12,0,18,5838,25784,0,5021
ACD,2017-02-04,9,16,0,19,6207,29646,0,5687
ACD,2017-02-11,12,17,0,16,6694,33122,0,6055
ACD,2017-02-18,11,28,0,64,7221,34023,0,5495
ACD,2017-02-25,14,58,0,213,7350,33901,0,6026
ACD,2017-03-04,20,83,0,62,7642,35755,0,5065
ACD,2017-03-11,22,101,0,223,8387,37976,0,5828
ACD,2017-03-18,18,128,0,120,8781,41571,0,6681
ACD,2017-03-25,15,82,0,121,9322,50080,0,9628
ACD,2017-04-01,8,63,0,204,6893,33914,0,8508
ACD,2017-04-08,14,103,0,217,8654,44367,0,8954
ACD,2017-04-15,12,72,0,66,9446,48745,0,8358
ACD,2017-04-22,11,45,0,68,10233,52314,0,8157
ACD,2017-04-29,21,66,0,132,11248,59816,0,12227
ACD,2017-05-06,25,83,0,228,11309,55365,0,11378
ACD,2017-05-13,26,76,0,267,12429,61486,0,11834
ACD,2017-05-20,25,149,0,437,12762,62708,0,9810
ACD,2017-05-27,25,155,0,413,12591,62693,0,11330
ACD,2017-06-03,22,135,0,517,13207,63275,0,12124
ACD,2017-06-10,34,182,0,888,14043,68826,0,11034
ACD,2017-06-17,38,230,0,787,14671,72945,0,12506
ACD,2017-06-24,32,169,0,868,15231,76026,0,15107
ACD,2017-07-01,25,166,0,810,12548,66005,0,12127
ACD,2017-07-08,28,164,0,804,13051,61696,0,10461
ACD,2017-07-15,32,185,0,721,15667,89843,0,12834
ACD,2017-07-22,37,222,0,1004,16808,98199,0,13730
ACD,2017-07-29,31,218,0,997,17200,104106,0,12930
ACD,2017-08-05,47,341,0,1115,18690,118972,0,15282
ACD,2017-08-12,37,192,0,723,17899,141181,0,12904
ACD,2017-08-19,64,297,0,1085,18446,152155,0,13882
ACD,2017-08-26,63,296,0,833,21111,174007,0,16132
ACD,2017-09-02,74,365,0,898,22485,186906,0,18267
ACD,2017-09-09,90,667,0,1352,23635,193482,0,19419
ACD,2017-09-16,81,518,0,1193,24757,215631,0,17764
ACD,2017-09-23,94,468,0,1498,31592,289449,0,24411
ACD,2017-09-30,100,658,0,1374,26687,242430,0,26112
ACD,2017-10-07,111,786,0,1627,27374,262367,1,25717
ACD,2017-10-14,80,546,0,1002,29603,295680,0,27751
ACD,2017-10-21,120,884,0,1604,30721,315544,0,29033
ARCHDESK,2017-01-14,1,1,0,5,794,3284,0,650
ARCHDESK,2017-01-28,1,1,0,1,932,4425,0,646
ARCHDESK,2017-02-25,1,8,0,49,1082,4890,0,707
ARCHDESK,2017-04-01,1,1,0,1,1065,4367,0,2240
ARCHDESK,2017-04-08,1,8,0,49,1366,7182,0,4298
ARCHDESK,2017-04-15,1,8,0,49,1414,8350,0,3841
ARCHDESK,2017-04-22,1,8,0,49,1496,9636,0,3749
ARCHDESK,2017-04-29,3,10,0,51,1643,10992,0,4816
ARCHDESK,2017-05-13,3,17,0,99,1914,10065,0,3381
ARCHDESK,2017-05-20,1,8,0,49,1898,12189,0,3351
ARCHDESK,2017-05-27,2,16,0,98,1813,11734,0,3411
ARCHDESK,2017-06-03,2,16,0,98,1991,13555,0,4109
ARCHDESK,2017-06-10,2,16,0,98,2116,14784,0,3231
ARCHDESK,2017-06-17,2,16,0,98,2234,14744,0,3696
ARCHDESK,2017-06-24,1,1,0,1,2272,15524,0,4271
ARCHDESK,2017-07-01,2,9,0,51,1901,12068,0,3720
ARCHDESK,2017-07-08,3,10,0,53,1892,11897,0,2628
ARCHDESK,2017-07-22,4,18,0,100,2459,19327,0,6682
ARCHDESK,2017-07-29,3,10,0,51,2499,17090,0,5712
ARCHDESK,2017-08-12,1,8,0,49,2861,29925,0,2048
ARCHDESK,2017-08-19,1,8,0,49,3209,36997,0,3472
ARCHDESK,2017-08-26,2,9,0,50,3593,44937,0,5816
ARCHDESK,2017-09-02,1,8,0,49,3766,53010,0,5225
ARCHDESK,2017-09-09,3,12,0,53,3865,51462,0,4524
ARCHDESK,2017-09-16,1,1,0,1,3855,52017,0,4174
ARCHDESK,2017-09-23,1,1,0,3,5179,71075,0,6773
ARCHDESK,2017-10-14,4,26,0,56,4979,79504,0,5893
ARCHDESK,2017-10-21,2,2,0,4,5154,83918,0,5886
NAVMAN,2016-10-22,1,500,0,500,351,4088,0,1054
NAVMAN,2016-11-05,1,1,0,4,503,3944,0,1655
NAVMAN,2016-12-03,1,1,0,1,642,4295,0,1680
NAVMAN,2016-12-24,2,4,0,12,659,2906,0,2218
NAVMAN,2016-12-31,1,2,0,6,366,2355,0,103
NAVMAN,2017-01-07,4,7,0,22,697,3855,0,1353
NAVMAN,2017-01-21,1,2,0,6,1000,7637,0,1828
NAVMAN,2017-01-28,1,1,0,4,1051,6618,0,1709
NAVMAN,2017-02-04,4,8,0,24,1192,8695,0,1277
NAVMAN,2017-02-11,4,8,0,24,1320,9516,0,819
NAVMAN,2017-02-18,6,29,0,25,1438,10940,0,2363
NAVMAN,2017-02-25,7,19,0,37,1275,9471,0,764
NAVMAN,2017-03-04,8,28,0,42,1383,9847,0,1850
NAVMAN,2017-03-11,7,13,0,40,1573,13297,0,2370
NAVMAN,2017-03-18,5,9,0,28,1693,12811,0,1363
NAVMAN,2017-03-25,10,25,0,55,1711,11966,0,1863
NAVMAN,2017-04-01,7,19,0,34,1289,9324,0,2763
NAVMAN,2017-04-08,3,24,0,9,1647,15412,0,4327
NAVMAN,2017-04-15,2,9,0,4,1703,16757,0,3284
NAVMAN,2017-04-22,2,12,0,9,1868,17782,0,2950
NAVMAN,2017-04-29,4,22,0,15,2063,24027,0,2916
NAVMAN,2017-05-06,2,9,0,4,1990,20821,0,2385
NAVMAN,2017-05-13,4,21,0,13,2278,21345,0,3574
NAVMAN,2017-05-20,4,17,0,16,2278,18099,0,2063
NAVMAN,2017-05-27,5,25,0,19,2237,24180,0,4416
NAVMAN,2017-06-03,5,22,0,13,2214,17987,0,3667
NAVMAN,2017-06-10,4,48,0,16,2463,20468,0,3087
NAVMAN,2017-06-17,4,33,0,12,2483,21109,0,3146
NAVMAN,2017-06-24,7,29,0,20,2619,26526,0,5090
NAVMAN,2017-07-01,3,15,0,9,2058,16810,0,4306
NAVMAN,2017-07-08,4,16,0,10,2147,14753,0,2396
NAVMAN,2017-07-15,4,17,0,16,2740,28670,0,5930
NAVMAN,2017-07-22,5,23,0,21,3041,30794,0,4894
NAVMAN,2017-07-29,7,31,0,34,3047,31423,0,5091
NAVMAN,2017-08-05,7,52,0,13,3368,41748,0,6060
NAVMAN,2017-08-12,5,29,0,17,3063,31951,0,4009
NAVMAN,2017-08-19,6,12,0,16,3295,36350,0,4458
NAVMAN,2017-08-26,5,21,0,18,3897,44522,0,5168
NAVMAN,2017-09-02,6,18,0,26,4009,43241,0,5909
NAVMAN,2017-09-09,13,52,0,134,4239,47751,0,5329
NAVMAN,2017-09-16,11,46,0,32,4379,49374,0,7519
NAVMAN,2017-09-23,20,47,0,105,5526,64553,0,7756
NAVMAN,2017-09-30,14,82,0,54,5132,61824,0,5459
NAVMAN,2017-10-07,17,99,0,41,5358,75239,0,9287
NAVMAN,2017-10-14,15,227,0,28,5634,79325,0,6345
NAVMAN,2017-10-21,9,228,0,31,5844,89622,0,9950
NAVSIM,2017-06-10,1,1,0,1,57,240,0,2
NAVSIM,2017-08-19,2,14,0,4,130,2407,0,17
NAVSIM,2017-08-26,3,21,0,6,153,2645,0,8
NAVSIM,2017-09-02,1,7,0,2,175,3282,0,14
NAVSIM,2017-09-09,1,7,0,2,166,3235,0,11
NAVSIM,2017-09-16,2,14,0,4,195,3639,0,28
NAVSIM,2017-09-23,1,7,0,2,264,4912,0,36
NAVSIM,2017-10-07,3,78,0,3,257,5699,0,30
NAVSIM,2017-10-14,4,104,0,4,302,6499,0,76
NAVSIM,2017-10-21,6,200,0,6,295,5363,0,76
RECAP,2016-11-26,1,1,0,1,91,2143,0,2026
RECAP,2017-03-04,1,1,0,1,168,3029,12,38
RECAP,2017-03-25,1,20,0,2,249,5647,21,1064
RECAP,2017-04-08,1,500,0,500,209,3944,6,3052
RECAP,2017-05-13,2,8,0,12,274,6433,5,572
RECAP,2017-05-27,2,8,0,12,249,4925,0,1590
RECAP,2017-06-10,1,4,0,6,285,4411,7,1989
RECAP,2017-06-24,1,4,0,6,320,4858,502,2249
RECAP,2017-07-01,1,2,0,12,233,4170,0,3134
RECAP,2017-07-08,2,4,0,24,247,3735,4,1671
