product_line_name,num_of_weeks,number_of_devices
3DSMAX,0,92
3DSMAX,1,148
3DSMAX,2,36
3DSMAX,3,17
3DSMAX,4,6
3DSMAX,5,6
ACAD_E,0,3
ACAD_E,1,14
ACAD_E,2,2
ACAD_E,3,2
ACAD_E,4,1
ACD,0,649
ACD,1,965
ACD,2,292
ACD,3,116
ACD,4,67
ACD,5,35
AMECH_PP,0,95
AMECH_PP,1,137
AMECH_PP,2,27
AMECH_PP,3,21
AMECH_PP,4,4
AMECH_PP,5,6
ARCHDESK,0,93
ARCHDESK,1,155
ARCHDESK,2,52
ARCHDESK,3,29
ARCHDESK,4,9
ARCHDESK,5,6
BLDSYS,0,88
BLDSYS,1,161
BLDSYS,2,39
BLDSYS,3,16
BLDSYS,4,12
BLDSYS,5,7
CIV3D,0,210
CIV3D,1,466
CIV3D,2,161
CIV3D,3,93
CIV3D,4,42
CIV3D,5,44
INVNTOR,0,2
INVNTOR,1,4
INVPROSA,0,170
INVPROSA,1,305
INVPROSA,2,59
INVPROSA,3,25
INVPROSA,4,7
INVPROSA,5,4
MAP,0,16
MAP,1,11
MAP,2,7
MAP,3,1
MAYA,0,50
MAYA,1,125
MAYA,2,40
MAYA,3,22
MAYA,4,15
MAYA,5,10
MAYA,6,3
MAYA,7,1
MAYA,8,3
MAYA,9,1
MAYA,10,1
MAYA,12,1
MAYA,14,3
MAYA,16,1
NAVMAN,0,206
NAVMAN,1,385
NAVMAN,2,73
NAVMAN,3,31
NAVMAN,4,12
NAVMAN,5,3
NAVSIM,0,5
NAVSIM,1,5
NAVSIM,2,1
PLNT3D,0,34
PLNT3D,1,46
PLNT3D,2,13
PLNT3D,3,3
PLNT3D,4,5
PLNT3D,5,1
RECAP,0,10
RECAP,1,7
RSAPRO,0,1
RSAPRO,1,5
RSAPRO,2,4
RVT,0,1909
RVT,1,3470
RVT,2,1077
RVT,3,489
RVT,4,305
RVT,5,83
